product_status,product_description,product_price,product_url,product_brand,product_site
,PlayStation 5 Console,499.00,https://www.walmart.com/ip/PlayStation-5-Console/363472942,Sony,walmart
out of stock,"Sony PlayStation 5, Digital Edition",399.00,https://www.walmart.com/ip/Sony-PlayStation-5-Digital-Edition/493824815,Sony,walmart
